Aston Villa,Sheffield United,29/2/2020
Man City,Arsenal,11/3/2020
Bournemouth,Crystal Palace,14/3/2020
Aston Villa,Chelsea,14/3/2020
Brighton,Arsenal,14/3/2020
Man City,Burnley,14/3/2020
Newcastle,Sheffield United,14/3/2020
Norwich,Southampton,14/3/2020
Watford,Leicester,14/3/2020
Tottenham,Man United,15/3/2020
West Ham,Wolves,15/3/2020
Everton,Liverpool,16/3/2020
Tottenham,West Ham,20/3/2020
Burnley,Watford,21/3/2020
Chelsea,Man City,21/3/2020
Liverpool,Crystal Palace,21/3/2020
Newcastle,Aston Villa,21/3/2020
Norwich,Everton,21/3/2020
Leicester,Brighton,22/3/2020
Man United,Sheffield United,22/3/2020
Southampton,Arsenal,22/3/2020
Wolves,Bournemouth,22/3/2020
Bournemouth,Newcastle,4/4/2020
Arsenal,Norwich,4/5/2020
Aston Villa,Wolves,4/6/2020
Brighton,Man United,4/7/2020
Crystal Palace,Burnley,4/8/2020
Sheffield United,Tottenham,4/9/2020
Watford,Southampton,4/10/2020
Man City,Liverpool,5/4/2020
West Ham,Chelsea,5/5/2020
Everton,Leicester,6/4/2020
Newcastle,West Ham,10/4/2020
Burnley,Sheffield United,11/4/2020
Leicester,Crystal Palace,11/5/2020
Man United,Bournemouth,11/6/2020
Norwich,Brighton,11/7/2020
Southampton,Man City,11/8/2020
Tottenham,Everton,11/9/2020
Chelsea,Watford,12/4/2020
Liverpool,Aston Villa,12/5/2020
Wolves,Arsenal,13/4/2020
Bournemouth,Tottenham,18/4/2020
Arsenal,Leicester,18/4/2020
Crystal Palace,Chelsea,18/4/2020
Everton,Southampton,18/4/2020
Man City,Newcastle,18/4/2020
Watford,Norwich,18/4/2020
West Ham,Burnley,18/4/2020
Aston Villa,Man United,19/4/2020
Sheffield United,Wolves,19/4/2020
Brighton,Liverpool,20/4/2020
Bournemouth,Leicester,25/4/2020
Brighton,Man City,25/4/2020
Liverpool,Burnley,25/4/2020
Man United,Southampton,25/4/2020
Norwich,West Ham,25/4/2020
Watford,Newcastle,25/4/2020
Wolves,Everton,25/4/2020
Sheffield United,Chelsea,26/4/2020
Tottenham,Arsenal,26/4/2020
Aston Villa,Crystal Palace,27/4/2020
Arsenal,Liverpool,2/5/2020
Burnley,Wolves,2/6/2020
Chelsea,Norwich,2/7/2020
Crystal Palace,Man United,2/8/2020
Everton,Aston Villa,2/9/2020
Leicester,Sheffield United,2/10/2020
Man City,Bournemouth,2/11/2020
Newcastle,Tottenham,2/12/2020
Southampton,Brighton,2/13/2020
West Ham,Watford,2/14/2020
Bournemouth,Southampton,9/5/2020
Aston Villa,Arsenal,9/6/2020
Brighton,Newcastle,9/7/2020
Liverpool,Chelsea,9/8/2020
Man United,West Ham,9/9/2020
Norwich,Burnley,9/10/2020
Sheffield United,Everton,9/11/2020
Tottenham,Leicester,9/12/2020
Watford,Man City,9/13/2020
Wolves,Crystal Palace,9/14/2020
Arsenal,Watford,17/5/2020
Burnley,Brighton,17/5/2020
Chelsea,Wolves,17/5/2020
Crystal Palace,Tottenham,17/5/2020
Everton,Bournemouth,17/5/2020
Leicester,Man United,17/5/2020
Man City,Norwich,17/5/2020
Newcastle,Liverpool,17/5/2020
Southampton,Sheffield United,17/5/2020
West Ham,Aston Villa,17/5/2020
